state_name,block_code,stage2_works_api,stage2_works_db,delta_fetch_stage2,works_sent_mq,works_processed_function_app,delta_processed_stage2,flagged_works_ai_rule,flagged_works_percen_ai_rule,stage2_works_sent_nic,last_updated_datetime
Andhar Pradesh,0212061,65,65.0,0.0,0.0,127.0,-127.0,34.0,26.77,127.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211028,7,7.0,0.0,0.0,14.0,-14.0,2.0,14.29,14.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0209021,24,24.0,0.0,0.0,48.0,-48.0,18.0,37.5,48.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0209027,22,22.0,0.0,0.0,44.0,-44.0,4.0,9.09,44.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204028,63,63.0,0.0,0.0,126.0,-126.0,18.0,14.29,126.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207024,21,21.0,0.0,0.0,42.0,-42.0,4.0,9.52,42.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0209018,32,32.0,0.0,0.0,64.0,-64.0,18.0,28.13,64.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203040,31,31.0,0.0,0.0,62.0,-62.0,14.0,22.58,62.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207034,5,5.0,0.0,0.0,10.0,-10.0,0.0,0.0,10.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210056,29,29.0,0.0,0.0,58.0,-58.0,6.0,10.34,58.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210022,6,6.0,0.0,0.0,12.0,-12.0,2.0,16.67,12.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0205017,13,13.0,0.0,0.0,26.0,-26.0,4.0,15.38,26.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206028,11,11.0,0.0,0.0,22.0,-22.0,12.0,54.55,22.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0201024,4,4.0,0.0,0.0,8.0,-8.0,7.0,87.5,8.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206016,51,51.0,0.0,0.0,101.0,-101.0,17.0,16.83,101.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207049,11,11.0,0.0,0.0,22.0,-22.0,6.0,27.27,22.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212046,82,82.0,0.0,0.0,164.0,-164.0,36.0,21.95,164.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210015,4,4.0,0.0,0.0,8.0,-8.0,4.0,50.0,8.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0209007,28,28.0,0.0,0.0,56.0,-56.0,11.0,19.64,56.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204018,12,12.0,0.0,0.0,23.0,-23.0,10.0,43.48,23.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203036,13,13.0,0.0,0.0,26.0,-26.0,4.0,15.38,26.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204015,11,11.0,0.0,0.0,22.0,-22.0,0.0,0.0,22.0,2024-06-18 04:48:28.868147+00:00
